pacManEaten,numActivePills,numActivePowerPills,score,pacManDistanceToUnedibleBlinky,pacManDistanceToUnedibleInky,pacManDistanceToUnediblePinky,pacManDistanceToUnedibleSue,pacManNearestGhostEdible,pacManDistanceToNearestGhostUnder20,pacManNearestGhostEdibleAndUnder40,pacManDistanceToNearestPill,numTotalActivePills,numLevel,levelTime,totalGameTime,numGhostsEaten,livesRemaining,gameOver,wasPillEaten,wasPowerPillEaten,pacManNumPossibleMoves,blinkyNumPossibleMoves,inkyNumPossibleMoves,pinkyNumPossibleMoves,sueNumPossibleMoves,distanceToNextNearestPillMOreThan10IfPillJustEaten,distanceToNearestPillAboveFive,pacManLastMoveLeft,pacManLastMoveDown,pacManDistanceToNearestGhostIfUnder10,pacManDistanceToNearestGhostIfUnder5,likelyNotStuck,reversedDirection,pacManDistanceToNearestGhostEdibleIfUnder10,pacManDistanceToNearestGhostEdibleIfUnder5
-92,347,-416,-219,435,212,-182,277,-73,-222,47,56,26,-306,312,-227,172,245,-12,461,40,-253,-316,-381,162,-53,-494,-262,-166,-13,8,420,-75,-65,-449,-408
-92,347,-477,226,383,212,-437,277,-51,142,47,-375,-144,166,190,480,172,245,461,38,485,457,-351,-164,162,-143,-494,184,-166,-98,332,500,-75,-381,67,485
197,-239,-416,211,-408,314,400,308,464,-430,62,-116,26,483,312,-174,172,-361,314,332,-431,316,-351,-239,162,-164,-122,444,151,-240,76,87,153,45,-495,-408
-51,-239,480,-219,226,469,-437,277,-426,-124,472,-420,-386,-90,312,-273,270,245,-24,461,-485,273,-316,341,-176,-175,-494,359,198,-13,293,-460,217,176,-455,-466
-92,-72,387,-361,483,469,-182,277,464,142,-117,-116,-386,-221,312,215,172,245,-88,481,485,151,-316,341,438,-175,-122,359,198,-13,-245,-118,153,-381,67,-407
-92,132,-121,-279,226,162,-182,277,-73,-124,47,-268,26,342,312,-227,-323,-496,-12,-88,275,-253,-109,-239,160,-143,-122,-94,457,104,393,272,-75,324,-449,-466
-92,-239,-332,-288,226,314,53,277,-73,332,257,56,26,-90,312,480,46,479,314,38,-426,273,-494,-239,-176,-143,-494,-94,457,-75,76,336,217,-490,-12,-408
-51,-72,-416,-361,483,314,-37,277,464,142,472,-116,-386,-162,412,-460,359,479,314,38,242,151,-351,-164,162,-143,-494,-133,198,-13,-21,-495,325,229,-449,-45
473,-72,-416,-279,483,314,53,35,212,-124,108,-268,-386,342,190,-227,359,-496,314,-210,314,151,-257,419,104,-143,-122,-447,177,282,75,-366,424,290,-449,-45
491,-239,-332,-288,493,-80,53,277,-73,-124,-117,-151,1,342,312,480,46,479,314,461,-317,-283,289,-310,-5,-143,-494,-464,-236,104,76,447,217,-490,-449,-466
-51,-72,-416,-361,483,314,-37,277,464,142,472,-116,-386,-162,412,-460,359,479,314,38,242,151,-351,-164,162,-143,-494,-133,198,-13,-21,-495,325,229,-449,-45
-92,-235,-416,-219,493,469,-37,153,-73,142,464,-190,-386,-162,312,480,38,-471,-88,38,242,442,475,341,-176,380,-125,444,198,430,491,-495,-75,343,68,-45
-51,-239,39,-385,493,314,-182,35,-73,142,47,-151,-386,-123,412,215,359,-60,314,-356,-284,151,-351,-239,-51,-143,-122,-464,198,-13,76,-460,217,290,-324,-45
15,-239,-332,-361,483,212,53,-479,-73,-298,47,-241,88,342,312,-227,46,-278,474,38,-69,151,289,-370,-176,352,-494,33,198,-13,8,131,217,-354,-449,-174
41,-239,-332,-361,466,-433,-37,277,464,-124,447,-420,1,-90,214,480,46,-60,314,38,-284,273,-351,341,-176,349,-494,-464,-343,430,8,131,217,176,-449,-45
41,-72,-217,-288,493,314,53,35,-426,142,164,-151,1,342,134,480,-323,-471,314,-426,270,151,-351,341,-176,-143,467,-464,125,430,403,312,217,176,-143,163
